 HR,Name,ID,#,Ltr,Dbl,Con#,Con,RA,RAm,RAs,,Dec,Dm,Ds,Vmag,B-V,U-B,Sp Type,pmRA,pmD,Distance,RV,Sid Lat,Sid Lon,Zod lon,Zod
7951,,3 Aqr,3,,,6,Aqr,20,47,44.2,S,5,1,40,4.42,1.65,1.92,M3III,0.003,-0.04,407.5,-22,12.5971,135.4057,16,Cap
7982,,4 Aqr,4,,,6,Aqr,20,51,25.7,S,5,37,35,5.99,0.46,0.03,F5V+F7V,0.099,-0.001,116.4,-25,11.7732,136.1413,17,Cap
7985,,5 Aqr,5,,,6,Aqr,20,52,8.7,S,5,30,25,5.55,-0.08,-0.27,B9III,0.002,0,,-2,11.8396,136.35,17,Cap
7990,,Mu Aqr,6,Mu,,6,Aqr,20,52,39.2,S,8,59,0,4.73,0.32,0.11,A3m,0.044,-0.03,171.6,-9,8.4599,135.4989,16,Cap
8015,,7 Aqr,7,,,6,Aqr,20,56,54,S,9,41,51,5.51,1.47,1.71,gK5,-0.003,-0.01,,-33,7.487,136.3148,17,Cap
8041,,11 Aqr,11,,,6,Aqr,21,0,33.8,S,4,43,49,6.21,0.63,0.24,G1V,0.051,-0.137,98.8,-17,12.0018,138.6274,19,Cap
8058,,12 Aqr,12,,,6,Aqr,21,4,4.6,S,5,49,24,7.31,,,A3V,0.003,0.012,1086.7,-5,10.7043,139.1581,20,Cap
8059,,12 Aqr,12,,,6,Aqr,21,4,4.7,S,5,49,23,5.89,0.68,0.41,G4III,0.018,-0.009,1086.7,1,10.7044,139.1586,20,Cap
8093,,Nu Aqr,13,Nu,,6,Aqr,21,9,35.7,S,11,22,18,4.51,0.94,0.7,G8III,0.095,-0.015,191.8,-12,4.9978,138.8378,19,Cap
8141,,15 Aqr,15,,,6,Aqr,21,18,11.1,S,4,31,10,5.82,-0.13,-0.51,B5V,0.011,0.015,407.5,-9,10.9071,142.9646,23,Cap
8160,,16 Aqr,16,,,6,Aqr,21,21,4.3,S,4,33,36,5.87,0.92,0.64,gG7,-0.012,0.011,232.9,-6,10.6472,143.6476,24,Cap
8175,,17 Aqr,17,,,6,Aqr,21,22,56.3,S,9,19,10,5.99,1.54,1.89,M0III,-0.025,-0.026,,18,5.9743,142.6014,23,Cap
8187,,18 Aqr,18,,,6,Aqr,21,24,11.5,S,12,52,41,5.49,0.29,,F1V,0.091,0.008,,8,2.4917,141.7904,22,Cap
8192,,20 Aqr,20,,,6,Aqr,21,24,51.7,S,3,23,54,6.36,0.33,0.13,F0III,-0.006,-0.053,,-23,11.4566,144.9322,25,Cap
8195,,19 Aqr,19,,,6,Aqr,21,25,13.1,S,9,44,55,5.7,0.2,,F0IV,0.024,-0.171,465.7,-21,5.3921,143.0042,24,Cap
