 HR,Name,ID,#,Ltr,Dbl,Con#,Con,RA,RAm,RAs,,Dec,Dm,Ds,Vmag,B-V,U-B,Sp Type,pmRA,pmD,Distance,RV,Sid Lat,Sid Lon,Zod lon,Zod
385,,42 Cet,42,,,19,Cet,1,19,48.3,S,0,30,32,5.87,0.64,0.32,G8III+A7V,0.012,-0.014,362.2,14,-8.4694,200.6673,21,Psc
393,,43 Cet,43,,,19,Cet,1,22,34.8,S,0,26,59,6.49,1.08,1.01,K0,0.023,-0.014,,14,-8.681,201.3393,22,Psc
401,,44 Cet,44,,,19,Cet,1,24,2.5,S,8,0,27,6.21,0.23,0.09,F0V,0.174,-0.07,,6,-15.815,198.7418,19,Psc
402,,The Cet,45,The,,19,Cet,1,24,1.4,S,8,11,0,3.6,1.06,0.93,K0III-IIIb,-0.079,-0.218,79.5,17,-15.9755,198.667,19,Psc
412,,46 Cet,46,,,19,Cet,1,25,37.2,S,14,35,56,4.9,1.23,1.26,K2.5IIIb,0.039,-0.018,465.7,-23,-22.0365,196.3892,17,Psc
421,,47 Cet,47,,,19,Cet,1,26,51.6,S,13,3,24,5.66,0.35,0.02,F0III,0.016,0.009,,10,-20.7418,197.3417,18,Psc
433,,48 Cet,48,,,19,Cet,1,29,36.1,S,21,37,46,5.12,0.02,0.04,A1V,0.056,0.006,116.4,1,-28.85,194.1671,15,Psc
451,,49 Cet,49,,,19,Cet,1,34,37.8,S,15,40,34,5.63,0.07,0.05,A3V,0.096,0.003,,9,-23.9064,198.0865,19,Psc
459,,50 Cet,50,,,19,Cet,1,35,59,S,15,24,1,5.42,1.21,1.2,K2IIIa,0.023,0.011,,24,-23.7847,198.5325,19,Psc
500,,HR 500,,,,19,Cet,1,42,43.5,S,3,41,25,4.99,1.38,1.58,K3II-III,-0.007,-0.032,362.2,-34,-13.5943,204.8677,25,Psc
509,,Tau Cet,52,Tau,,19,Cet,1,44,4.1,S,15,56,15,3.5,0.72,0.21,G8V,-1.718,0.856,11.9,-16,-25.0591,200.2596,21,Psc
513,,HR 513,,,,19,Cet,1,45,59.3,S,5,44,0,5.34,1.52,1.88,K4III,-0.007,-0.033,,11,-15.7984,204.8697,25,Psc
531,,Chi Cet,53,Chi,,19,Cet,1,49,35.1,S,10,41,11,4.67,0.33,0.03,F3III,-0.146,-0.093,70.9,-1,-20.7332,203.7943,24,Psc
539,Baten Kaitos,Zet Cet,55,Zet,,19,Cet,1,51,27.6,S,10,20,6,3.73,1.14,1.07,K0III,0.041,-0.039,105.2,9,-20.5827,204.3909,25,Psc
565,,56 Cet,56,,,19,Cet,1,56,40.2,S,22,31,37,4.85,1.42,1.67,K4III,0.062,-0.029,,27,-32.3067,200.3486,21,Psc
583,,57 Cet,57,,,19,Cet,1,59,46.1,S,20,49,28,5.41,1.65,1.98,M1III,0.008,0.019,,-15,-31.044,201.9285,22,Psc
585,,Ups Cet,59,Ups,,19,Cet,2,0,0.3,S,21,4,40,4,1.57,1.91,M0III,0.135,-0.024,465.7,18,-31.2986,201.8689,22,Psc
607,,60 Cet,60,,,19,Cet,2,3,11.7,N,0,7,42,5.43,0.15,0.13,A5III,0.079,Cen,,13,-11.8811,211.161,2,Ari
610,,61 Cet,61,,,19,Cet,2,3,48.2,S,0,20,25,5.93,0.88,0.5,G5II-III+G5V,0.079,-0.046,,24,-12.3741,211.1396,2,Ari
635,,64 Cet,64,,,19,Cet,2,11,21.1,N,8,34,11,5.63,0.56,0.14,G0IV,-0.139,-0.112,95.9,-18,-4.6373,216.0044,7,Ari
639,,63 Cet,63,,,19,Cet,2,11,35.8,S,1,49,31,5.93,0.97,0.7,G9,-0.008,-0.031,,32,-14.4474,212.4873,3,Ari
649,,Xi1 Cet,65,Xi1,,19,Cet,2,13,0,N,8,50,48,4.37,0.89,0.6,G6II-III,-0.022,-0.009,148.2,-4,-4.5127,216.4823,7,Ari
650,,66 Cet,66,,,19,Cet,2,12,47.5,S,2,23,37,5.54,0.57,0.09,F8V,0.37,-0.069,72.4,-3,-15.0847,212.5746,3,Ari
666,,67 Cet,67,,,19,Cet,2,16,59,S,6,25,20,5.51,0.96,0.76,G8.5III,0.093,-0.108,,7,-19.2311,212.1426,3,Ari
681,Mira,Omi Cet,68,Omi,,19,Cet,2,19,20.7,S,2,58,39,3.04,1.42,1.09,M7IIIe+Bep,-0.008,-0.237,135.8,64,-16.1952,213.9626,4,Ari
689,,69 Cet,69,,,19,Cet,2,21,56.6,N,0,23,45,5.28,1.65,1.87,M2III,-0.013,-0.007,,23,-13.2328,215.7645,6,Ari
691,,70 Cet,70,,,19,Cet,2,22,12.4,S,0,53,6,5.42,0.31,0.1,F0Vn,-0.019,-0.048,,20,-14.4638,215.3894,6,Ari
692,,HR 692,,,,19,Cet,2,22,1.4,S,10,46,40,5.46,0.35,0.02,F0V,0.14,-0.085,,12,-23.7523,211.7577,2,Ari
704,,71 Cet,71,,,19,Cet,2,24,58.4,S,2,46,48,6.33,0,-0.14,A0III,-0.001,-0.007,,12,-16.4828,215.4089,6,Ari
708,,Rho Cet,72,Rho,,19,Cet,2,25,57,S,12,17,26,4.89,-0.03,-0.07,B9.5Vn,-0.01,-0.009,112.4,10,-25.5092,212.1588,3,Ari
718,,Xi2 Cet,73,Xi2,,19,Cet,2,28,9.5,N,8,27,36,4.28,-0.06,-0.12,B9III,0.04,-0.009,108.7,11,-6.1023,219.9106,10,Ari
737,,HR 737,,,,19,Cet,2,31,30.1,N,2,16,2,5.25,1.27,1.41,K3III,0.027,-0.004,79.5,26,-12.2418,218.7032,9,Ari
739,,75 Cet,75,,,19,Cet,2,32,9.4,S,1,2,6,5.35,1.02,0.84,gG3,-0.026,-0.037,,-5,-15.4236,217.7662,8,Ari
740,,Sig Cet,76,Sig,,19,Cet,2,32,5.2,S,15,14,41,4.75,0.45,-0.02,F4IV,-0.07,-0.12,93.1,-29,-28.8029,212.5445,3,Ari
752,,77 Cet,77,,,19,Cet,2,34,42.7,S,7,51,34,5.75,1.4,1.65,gK4,0.063,-0.065,,25,-22.0841,216.0301,7,Ari
754,,Nu Cet,78,Nu,,19,Cet,2,35,52.5,N,5,35,36,4.86,0.87,0.53,G8III,-0.026,-0.025,1630,5,-9.4282,220.8286,11,Ari
759,,80 Cet,80,,,19,Cet,2,36,0,S,7,49,54,5.53,1.59,1.93,M0III,-0.033,-0.059,,14,-22.1641,216.3641,7,Ari
771,,81 Cet,81,,,19,Cet,2,37,41.8,S,3,23,46,5.65,1.02,0.85,gG5,0.041,-0.045,,8,-18.1065,218.3349,9,Ari
779,,Del Cet,82,Del,,19,Cet,2,39,29,N,0,19,43,4.07,-0.22,-0.87,B2IV,0.014,-0.004,3260,13,-14.7138,220.0125,11,Ari
781,,Eps Cet,83,Eps,,19,Cet,2,39,33.8,S,11,52,20,4.84,0.45,-0.01,F5V+F6V,0.146,-0.236,45.3,15,-26.2678,215.7817,6,Ari
790,,84 Cet,84,,,19,Cet,2,41,13.9,S,0,41,45,5.71,0.52,-0.02,F7IV,0.214,-0.136,90.6,8,-15.8241,220.1078,11,Ari
804,,Gam Cet,86,Gam,,19,Cet,2,43,18,N,3,14,9,3.47,0.09,0.07,A3V,-0.142,-0.152,62.7,-5,-12.243,221.8737,12,Ari
811,,Pi Cet,89,Pi,,19,Cet,2,44,7.4,S,13,51,31,4.25,-0.14,-0.45,B7V,-0.008,-0.015,,15,-28.5142,216.197,7,Ari
813,,Mu Cet,87,Mu,,19,Cet,2,44,56.5,N,10,6,51,4.27,0.31,0.08,F0IV,0.284,-0.036,70.9,30,-5.8048,224.3823,15,Ari
896,,Lam Cet,91,Lam,,19,Cet,2,59,42.9,N,8,54,27,4.7,-0.12,-0.45,B6III,0.004,-0.014,,10,-8.0138,227.5342,18,Ari
910,,93 Cet,93,,,19,Cet,3,2,22.5,N,4,21,10,5.61,-0.1,-0.41,B7V,0.014,0.005,,12,-12.5708,226.8612,17,Ari
911,Menkar,Alp Cet,92,Alp,,19,Cet,3,2,16.8,N,4,5,23,2.53,1.64,1.94,M1.5IIIa,-0.009,-0.078,362.2,-26,-12.8166,226.7612,17,Ari
962,,94 Cet,94,,,19,Cet,3,12,46.4,S,1,11,46,5.06,0.57,0.12,F8V,0.196,-0.067,57.2,18,-18.6218,227.8236,18,Ari
992,,95 Cet,95,,,19,Cet,3,18,22.4,S,0,55,49,5.38,1.04,0.81,G9IV,0.252,-0.052,191.8,20,-18.7446,229.3194,20,Ari
996,,Kap1 Cet,96,Kap1,,19,Cet,3,19,21.7,N,3,22,13,4.83,0.68,0.19,G5V,0.271,0.092,30.2,20,-14.6617,230.7712,21,Ari
1007,,Kap2 Cet,97,Kap2,,19,Cet,3,21,6.8,N,3,40,32,5.69,0.97,0.76,G8.5III,0.051,-0.026,,11,-14.4797,231.2895,22,Ari
9065,,1 Cet,1,,,19,Cet,23,58,21.2,S,15,50,51,6.26,1.08,1.03,K0II-III,0.086,-0.006,,4,-14.3424,175.6258,26,Aqr
9098,,2 Cet,2,,,19,Cet,0,3,44.4,S,17,20,10,4.55,-0.05,-0.12,B9.5Vn,0.026,-0.009,465.7,-5,-16.2459,176.2083,27,Aqr
9103,,3 Cet,3,,,19,Cet,0,4,30.1,S,10,30,34,4.94,1.63,1.92,K3Ib,-0.005,-0.011,203.8,-42,-10.093,179.2482,30,Aqr
3318,,Alp Cha,,Alp,,62,Cha,8,18,31.6,S,76,55,11,4.07,0.39,-0.02,F5III,0.11,0.108,61.5,-14,-75.5641,61.74,2,Sco
3340,,The Cha,,The,,62,Cha,8,20,38.5,S,77,29,4,4.35,1.16,1.2,K2III,-0.134,0.042,90.6,22,-75.1978,63.5105,4,Sco
3502,,Eta Cha,,Eta,,62,Cha,8,41,19.5,S,78,57,48,5.47,-0.1,-0.35,B8V,-0.031,0.026,,14,-73.5873,66.661,7,Sco
3795,,Iot Cha,,Iot,,62,Cha,9,24,9.1,S,80,47,13,5.36,0.45,0.06,F3-5IV,-0.146,0.14,,7,-71.1521,69.9225,10,Sco
3860,,Zet Cha,,Zet,,62,Cha,9,33,53.2,S,80,56,29,5.11,-0.14,-0.57,B5V,-0.043,0.007,,-42,-70.7344,70.0332,11,Sco
3902,,Nu Cha,,Nu,,62,Cha,9,46,20.6,S,76,46,34,5.45,0.89,0.57,G8III,0.079,-0.056,171.6,11,-70.7787,57.3372,28,Lib
3983,,Mu1 Cha,,Mu1,,62,Cha,10,0,43.7,S,82,12,53,5.52,0.03,0.05,A0IV,-0.031,0.032,,16,-69.4541,72.964,13,Sco
3997,,Mu2 Cha,,Mu2,,62,Cha,10,4,7.6,S,81,33,57,6.6,0.92,0.53,G6-8III,-0.046,0.047,,0,-69.4605,71.0919,12,Sco
4174,,Gam Cha,,Gam,,62,Cha,10,35,28.1,S,78,36,28,4.11,1.58,1.95,M0III,-0.042,0.014,362.2,-22,-68.1919,62.8623,3,Sco
4231,,Del1 Cha,,Del1,,62,Cha,10,45,15.7,S,80,28,11,5.47,0.95,0.75,K0III,-0.038,-0.033,1086.7,11,-67.8889,67.9071,8,Sco
4234,,Del2 Cha,,Del2,,62,Cha,10,45,46.8,S,80,32,25,4.45,-0.19,-0.7,B2.5IV,-0.049,0.008,,23,-67.8714,68.0973,9,Sco
4479,,Pi Cha,,Pi,,62,Cha,11,37,15.6,S,75,53,48,5.65,0.35,0,F1III,-0.134,0.001,,-10,-64.1186,58.7459,29,Lib
4583,,Eps Cha,,Eps,,62,Cha,11,59,37.3,S,78,13,19,4.91,-0.06,-0.16,B9Vn,-0.057,-0.002,271.7,13,-63.9359,64.7591,5,Sco
4605,,Kap Cha,,Kap,,62,Cha,12,4,46.5,S,76,31,9,5.04,1.49,1.78,K4III,-0.082,0.048,1086.7,-2,-62.9005,61.66,2,Sco
4674,,Bet Cha,,Bet,,62,Cha,12,18,20.7,S,79,18,44,4.26,-0.12,-0.51,B5Vn,-0.048,0.017,,23,-63.5728,67.8788,8,Sco
5463,,Alp Cir,,Alp,,50,Cir,14,42,30.4,S,64,58,31,3.19,0.24,0.12,Ap,-0.192,-0.232,58.2,7,-46.0548,64.8036,5,Sco
5482,,HR 5482,,,,50,Cir,14,45,17.3,S,62,52,33,5.36,0.29,,A9V,0.063,-0.084,296.4,-1,-44.0206,63.9259,4,Sco
5539,,Zet Cir,,Zet,,50,Cir,14,54,42.4,S,65,59,29,6.09,-0.06,-0.6,B3Vn,-0.022,-0.022,,-18,-46.4423,67.0919,8,Sco
5546,,HR 5546,,,,50,Cir,14,55,34.6,S,60,6,51,5.2,1.16,1.15,K2III,-0.125,-0.115,105.2,-14,-40.9981,63.9599,4,Sco
5551,,The Cir,,The,,50,Cir,14,56,44,S,62,46,51,5.11,0,-0.77,B4Vnpe,-0.011,0,,3,-43.4113,65.5293,6,Sco
5593,,Eta Cir,,Eta,,50,Cir,15,4,48.2,S,64,1,54,5.17,0.93,,G8III,0.099,0.004,101.9,45,-44.2211,67.3614,8,Sco
5664,,Del Cir,,Del,,50,Cir,15,16,56.7,S,60,57,27,5.09,-0.06,-0.92,O8.5V,-0.019,-0.009,,9,-40.851,67.6126,8,Sco
5666,,Eps Cir,,Eps,,50,Cir,15,17,38.9,S,63,36,38,4.86,1.25,1.32,K2.5III,0.001,0.008,815,-5,-43.3145,68.9706,9,Sco
5670,,Bet Cir,,Bet,,50,Cir,15,17,30.8,S,58,48,4,4.07,0.09,0.09,A3V,-0.1,-0.137,61.5,10,-38.7935,66.7479,7,Sco
5680,,HR 5680,,,,50,Cir,15,18,48.9,S,60,29,47,5.46,-0.1,-0.9,O7.5III,-0.027,-0.002,,-3,-40.3403,67.6886,8,Sco
5704,,Gam Cir,,Gam,,50,Cir,15,23,22.7,S,59,19,15,4.51,0.19,-0.35,B5IV+F8,-0.016,-0.038,326,-17,-39.0437,67.8846,8,Sco
2244,,HR 2244,,,,34,CMa,6,15,44.9,S,13,43,6,5.01,-0.08,-0.23,B9Vn,0.011,-0.009,,38,-37.0958,277.2377,8,Gem
2260,,R CMa,,R,,34,CMa,6,17,41.7,S,16,48,57,5.14,1.3,1.23,K3III,-0.011,0.008,191.8,-8,-40.1748,277.9858,8,Gem
2282,Furud,Zet CMa,1,Zet,,34,CMa,6,20,18.8,S,30,3,48,3.02,-0.19,-0.72,B2.5V,0.009,0.003,815,32,-53.3799,279.8186,10,Gem
2294,Mirzam,Bet CMa,2,Bet,,34,CMa,6,22,42,S,17,57,21,1.98,-0.23,-0.98,B1II-III,-0.006,0,171.6,34,-41.2615,279.629,10,Gem
2305,,HR 2305,,,,34,CMa,6,24,10.3,S,11,31,49,5.22,1.24,1.2,K3III,-0.054,-0.035,203.8,-26,-34.8267,279.6588,10,Gem
2361,,Lam CMa,,Lam,,34,CMa,6,28,10.1,S,32,34,48,4.48,-0.17,-0.61,B4V,-0.018,0.024,250.8,41,-55.7753,283.0209,14,Gem
2379,,HR 2379,,,,34,CMa,6,31,23,S,12,23,30,5.15,1.27,1.38,K3III,0.04,-0.016,148.2,17,-35.5886,281.8756,12,Gem
2387,,Xi1 CMa,4,Xi1,,34,CMa,6,31,51.3,S,23,25,6,4.33,-0.24,-0.99,B0.5IV,-0.006,0.012,,27,-46.5798,283.0967,14,Gem
2414,,Xi2 CMa,5,Xi2,,34,CMa,6,35,3.4,S,22,57,53,4.54,-0.05,-0.03,A0V,0.011,0.016,130.4,26,-46.0694,284.1031,15,Gem
2423,,Nu1 CMa,6,Nu1,A,34,CMa,6,36,22.8,S,18,39,36,5.7,0.85,0.49,G8III+F3IV,-0.011,0.017,,25,-41.7546,284.0183,15,Gem
2429,,Nu2 CMa,7,Nu2,,34,CMa,6,36,41,S,19,15,21,3.95,1.06,1.01,K1III,0.059,-0.062,56.2,3,-42.3426,284.1826,15,Gem
2443,,Nu3 CMa,8,Nu3,,34,CMa,6,37,53.4,S,18,14,15,4.43,1.15,1.04,K1-II-III,-0.01,-0.007,250.8,-2,-41.3045,284.4464,15,Gem
2447,,HR 2447,,,,34,CMa,6,37,47.6,S,32,20,23,5.27,1.18,1.12,K2III,0.105,0.068,191.8,79,-55.3426,286.5483,17,Gem
2450,,HR 2450,,,,34,CMa,6,39,16.7,S,14,8,45,4.82,1.5,1.68,K2II,0.004,-0.004,,29,-37.2001,284.4202,15,Gem
2491,Sirius,Alp CMa,9,Alp,,34,CMa,6,45,8.9,S,16,42,58,-1.46,0,-0.05,A1Vm,-0.553,-1.205,8.7,-8,-39.6353,286.5225,17,Gem
2492,,10 CMa,10,,,34,CMa,6,44,28.4,S,31,4,14,5.2,-0.12,-0.93,B2IIIe,-0.015,0.008,,34,-53.9176,288.7143,19,Gem
2498,,HR 2498,,,,34,CMa,6,45,59.3,S,14,47,46,5.32,0.07,0.12,A2V,-0.025,-0.017,135.8,-19,-37.7052,286.5327,17,Gem
2504,,11 CMa,11,,,34,CMa,6,46,51.1,S,14,25,33,5.29,-0.04,-0.25,B9III,-0.002,0.012,,15,-37.3168,286.7474,17,Gem
2509,,12 CMa,12,,,34,CMa,6,47,1.5,S,21,0,56,6.08,-0.19,-0.62,B7IIIn,-0.014,0.005,,15,-43.8668,287.7284,18,Gem
2522,,HR 2522,,,,34,CMa,6,48,57.8,S,15,8,41,5.39,-0.1,-0.51,B6V,0.002,-0.004,815,23,-37.9816,287.4829,18,Gem
2538,,Kap CMa,13,Kap,,34,CMa,6,49,50.5,S,32,30,31,3.96,-0.23,-0.92,B1.5IVne,-0.007,0.004,,14,-55.1908,291.0074,22,Gem
2571,,15 CMa,15,,,34,CMa,6,53,32.9,S,20,13,27,4.83,-0.21,-0.96,B1IV,-0.009,0.004,,28,-42.9084,289.683,20,Gem
2574,,The CMa,14,The,,34,CMa,6,54,11.4,S,12,2,19,4.07,1.43,1.7,K4III,-0.137,-0.013,148.2,97,-34.7607,288.6252,19,Gem
2580,,Omi1 CMa,16,Omi1,,34,CMa,6,54,7.9,S,24,11,2,3.87,1.73,1.99,K2+Iab,-0.008,0.013,1630,36,-46.8192,290.6017,21,Gem
2588,,17 CMa,17,,,34,CMa,6,55,2.7,S,20,24,17,5.74,0.08,,A3IV,-0.003,-0.004,,-15,-43.0451,290.1898,21,Gem
2590,,Pi CMa,19,Pi,,34,CMa,6,55,37.4,S,20,8,11,4.68,0.37,0.05,gF2,0.047,0.043,95.9,8,-42.7622,290.3258,21,Gem
2593,,Mu CMa,18,Mu,,34,CMa,6,56,6.6,S,14,2,37,5,1.18,,G5III+A2,-0.001,0.005,,19,-36.7009,289.4853,20,Gem
2595,,HR 2595,,,,34,CMa,6,55,46.8,S,22,56,29,5.3,-0.18,-0.8,B3II-III,-0.017,0.003,,38,-45.5389,290.8972,21,Gem
2596,,Iot CMa,20,Iot,,34,CMa,6,56,8.2,S,17,3,15,4.37,-0.07,-0.7,B3II,-0.003,0.002,652,41,-39.6892,289.9632,20,Gem
2607,,HR 2607,,,,34,CMa,6,57,33.9,S,24,37,50,5.46,0.36,0.03, dF0,-0.058,0.106,203.8,20,-47.1574,291.8271,22,Gem
2618,Adhara,Eps CMa,21,Eps,,34,CMa,6,58,37.5,S,28,58,20,1.5,-0.21,-0.93,B2II,0.004,0.003,3260,27,-51.4162,293.2036,24,Gem
2646,,Sig CMa,22,Sig,,34,CMa,7,1,43.1,S,27,56,5,3.47,1.73,1.88,K7Ib,-0.005,0.005,135.8,22,-50.2864,293.9967,24,Gem
2653,,Omi2 CMa,24,Omi2,,34,CMa,7,3,1.5,S,23,50,0,3.02,-0.08,-0.8,B3Iab,-0.004,0.003,,48,-46.1907,293.4439,24,Gem
2657,Muliphein,Gam CMa,23,Gam,,34,CMa,7,3,45.5,S,15,38,0,4.12,-0.12,-0.48,B8II,-0.002,-0.008,,32,-38.0509,292.0488,23,Gem
2678,,HR 2678,,,,34,CMa,7,6,40.7,S,11,17,39,5.39,0.05,-0.85,B0.5IV,-0.011,-0.005,,31,-33.658,292.1788,23,Gem
2693,Wezen,Del CMa,25,Del,,34,CMa,7,8,23.5,S,26,23,36,1.84,0.68,0.54,F8Ia,-0.003,0.004,,34,-48.5252,295.8371,26,Gem
2708,,HR 2708,,,,34,CMa,7,10,19.4,S,27,29,29,5.46,1,,G8III,-0.003,0.009,,15,-49.532,296.7839,27,Gem
2718,,26 CMa,26,,,34,CMa,7,12,12.2,S,25,56,33,5.92,-0.17,-0.71,B2V,-0.009,0.011,,22,-47.9347,296.9765,27,Gem
2745,,27 CMa,27,,,34,CMa,7,14,15.2,S,26,21,9,4.66,-0.19,-0.71,B3IIIe,-0.009,0.007,,0,-48.2559,297.7666,28,Gem
2749,,Ome CMa,28,Ome,,34,CMa,7,14,48.7,S,26,46,22,3.85,-0.17,-0.73,B2IV-Ve,-0.008,0.006,,26,-48.646,298.0721,29,Gem
2756,,HR 2756,,,,34,CMa,7,15,21,S,30,41,11,5.36,-0.17,-0.65,B3V,-0.018,0.013,,33,-52.4606,299.4927,30,Gem
2758,,HR 2758,,,,34,CMa,7,16,14.5,S,15,35,9,5.46,0.08,0.06,A2Vnp,-0.05,-0.015,79.5,10,-37.5711,295.7973,26,Gem
2764,,HR 2764,,,,34,CMa,7,16,36.8,S,23,18,56,4.79,1.71,1.87,K3Ib-II,-0.01,0.002,171.6,28,-45.1744,297.704,28,Gem
2766,,HR 2766,,,,34,CMa,7,16,35,S,27,52,52,4.64,1.6,1.88,M3III,-0.01,0.043,271.7,42,-49.6597,298.9941,29,Gem
2781,,29 CMa,29,,,34,CMa,7,18,40.3,S,24,33,32,4.98,-0.15,-1.01,O7Ia:fp,-0.006,0,,-11,-46.3115,298.7012,29,Gem
2782,,Tau CMa,30,Tau,,34,CMa,7,18,42.4,S,24,57,15,4.4,-0.15,-0.99, O9Ib,-0.009,0.01,,40,-46.6981,298.8239,29,Gem
2786,,HR 2786,,,,34,CMa,7,18,51.2,S,26,35,9,5.28,0.96,0.65,G2Ib,-0.017,0.008,191.8,32,-48.2928,299.3493,30,Gem
2796,,HR 2796,,,,34,CMa,7,20,58.2,S,14,21,36,5.45,0.98,0.63, gG5,-0.018,0.016,,13,-36.1796,296.9476,27,Gem
2812,,HR 2812,,,,34,CMa,7,22,13.5,S,19,1,0,4.96,-0.04,-0.39,B7IV,-0.006,-0.008,,27,-40.7155,298.3767,29,Gem
2827,Aludra,Eta CMa,31,Eta,,34,CMa,7,24,5.7,S,29,18,11,2.45,-0.08,-0.72,B5Ia,-0.004,0.005,,41,-50.7151,301.9774,2,Cnc
3131,,HR 3131,,,,34,CMa,7,59,52,S,18,23,57,4.61,0.08,0.08,A2Vn,-0.002,-0.039,155.2,-12,-38.2344,309.4551,10,Cnc
2729,,HR 2729,,,,22,CMi,7,14,20,N,3,6,41,5.35,1.19,1.18,K2II,-0.006,-0.002,,37,-19.133,292.1161,23,Gem
2820,,1 CMi,1,,,22,CMi,7,24,58.2,N,11,40,11,5.3,0.1,0.13,A5IV,-0.017,-0.014,217.3,-1,-10.303,293.5751,24,Gem
2828,,Eps CMi,2,Eps,,22,CMi,7,25,38.9,N,9,16,34,4.99,1.01,0.78,G6.5IIb,-0.006,-0.011,407.5,-8,-12.6482,294.1037,25,Gem
2845,Gomeisa,Bet CMi,3,Bet,,22,CMi,7,27,9,N,8,17,22,2.9,-0.09,-0.28,B8Ve,-0.052,-0.038,171.6,22,-13.5709,294.6324,25,Gem
2851,,Eta CMi,5,Eta,,22,CMi,7,28,2.1,N,6,56,31,5.25,0.22,0.17,F0III,-0.004,-0.044,326,18,-14.8713,295.0685,26,Gem
2854,,Gam CMi,4,Gam,,22,CMi,7,28,9.8,N,8,55,32,4.32,1.43,1.54,K3-III,-0.062,0.017,171.6,47,-12.9054,294.7871,25,Gem
2864,,6 CMi,6,,,22,CMi,7,29,47.8,N,12,0,24,4.54,1.28,1.37,K1+III,0,-0.019,112.4,-15,-9.8001,294.7092,25,Gem
2880,,Del1 CMi,7,Del1,,22,CMi,7,32,5.9,N,1,54,52,5.25,0.22,0.2,F0III,-0.003,-0.003,203.8,29,-19.683,296.955,27,Gem
2887,,Del2 CMi,8,Del2,,22,CMi,7,33,11.6,N,3,17,25,5.59,0.31,0.1,F2V,-0.018,0.038,,1,-18.2819,296.9996,27,Gem
2901,,Del3 CMi,9,Del3,,22,CMi,7,34,15.8,N,3,22,17,5.81,-0.02,-0.09,A0Vnn,-0.012,-0.014,,34,-18.1593,297.2625,28,Gem
2943,Procyon,Alp CMi,10,Alp,,22,CMi,7,39,18.1,N,5,13,30,0.38,0.42,0.02,F5IV-V,-0.71,-1.023,11.3,-3,-16.1264,298.2264,29,Gem
3008,,11 CMi,11,,,22,CMi,7,46,16.2,N,10,46,6,5.3,0.01,-0.02,A1Vnn,-0.029,-0.024,148.2,28,-10.3735,298.9612,29,Gem
3059,,Zet CMi,13,Zet,,22,CMi,7,51,42,N,1,46,1,5.14,-0.12,-0.49,B8II,-0.016,-0.003,271.7,32,-18.9765,302.0846,3,Cnc
3110,,14 CMi,14,,,22,CMi,7,58,20.6,N,2,13,29,5.29,0.92,0.71,K0III,-0.158,0.099,120.7,46,-18.2051,303.7011,4,Cnc
3095,,1 Cnc,1,,,11,Cnc,7,56,59.4,N,15,47,25,5.78,1.28,,K3+III,-0.028,-0.042,,10,-4.9658,300.5938,1,Cnc
3124,,Ome1 Cnc,2,Ome1,,11,Cnc,8,0,55.9,N,25,23,34,5.83,1.02,0.88,gG8,0.014,0.006,,2,4.6311,299.5989,30,Gem
3128,,3 Cnc,3,,,11,Cnc,8,0,47.3,N,17,18,31,5.55,1.32,,gK3,-0.012,-0.002,,41,-3.3026,301.1874,2,Cnc
3132,,Ome2 Cnc,4,Ome2,,11,Cnc,8,1,43.8,N,25,5,23,6.31,0.01,0.03,A1V,-0.021,Cen,,-9,4.3691,299.8376,30,Gem
3134,,5 Cnc,5,,,11,Cnc,8,1,30.3,N,16,27,19,5.99,-0.02,-0.02,B9.5Vn,0.004,-0.005,,-12,-4.106,301.5275,2,Cnc
3163,,8 Cnc,8,,,11,Cnc,8,5,4.5,N,13,7,5,5.12,0.01,-0.01,A1V,-0.036,-0.067,141.7,21,-7.2048,303.0628,4,Cnc
3169,,Mu1 Cnc,9,Mu1,,11,Cnc,8,6,18.4,N,22,38,8,5.99,1.66,1.91,M3III,-0.008,-0.005,,26,2.1724,301.3681,2,Cnc
3176,,Mu2 Cnc,10,Mu2,,11,Cnc,8,7,45.8,N,21,34,54,5.3,0.63,0.21,G1IVb,0.022,-0.069,95.9,-36,1.2092,301.9191,2,Cnc
3184,,12 Cnc,12,,,11,Cnc,8,8,42.4,N,13,38,27,6.27,0.43,0.01,F3V,-0.001,-0.017,,-10,-6.5134,303.8213,4,Cnc
3191,,Psi Cnc,14,Psi,,11,Cnc,8,10,27.2,N,25,30,26,5.73,0.81,0.43,G7V,-0.075,-0.348,112.4,-43,5.1755,301.6854,2,Cnc
3208,Tegmine,Zet1 Cnc,16,Zet1,A,11,Cnc,8,12,12.7,N,17,38,52,5.63,0.54,0.06,F8V,0.066,-0.135,83.6,-6,-2.4208,303.7834,4,Cnc
3209,,Zet1 Cnc,16,Zet1,B,11,Cnc,8,12,12.7,N,17,38,52,6.02,0.54,0.06,F9V,0.066,-0.135,83.6,-6,-2.4208,303.7834,4,Cnc
3210,,Zet2 Cnc,16,Zet2,C,11,Cnc,8,12,13.3,N,17,38,52,6.2,0.6,0.13,G5V,0.097,-0.109,83.6,-11,-2.4203,303.7857,4,Cnc
3215,,15 Cnc,15,,,11,Cnc,8,13,8.9,N,29,39,24,5.64,-0.07,-0.12,B9p,-0.009,-0.018,,20,9.3551,301.3597,2,Cnc
3249,,Bet Cnc,17,Bet,,11,Cnc,8,16,30.9,N,9,11,8,3.52,1.48,1.77,K4III,-0.044,-0.049,271.7,22,-10.4562,306.6982,7,Cnc
